SKU,Old Cost,New Cost,Change
5060959540984,,8.68,SET
5060959540977,,8.68,SET
5054487655760,,3.56,SET
5054487655678,,3.25,SET
5060959540960,,8.68,SET
5060959541004,,6.19,SET
INFAIRTNT33,,275.0,SET
QUPTNT33,,169.0,SET
20LZIPPVCBLK,,13.9,SET
20LCAREFFBLK,,11.37,SET
40LPVC1PORA,,6.7,SET
5060959540373,,2.6,SET
20LPVC1PORA,,5.47,SET
40LPVC1PBLK,,6.37,SET
5060959540502,,9.98,SET
HYDCARPROBLK,,19.18,SET
HPPK2WCNAVWW,,5.92,SET
HYDPADP1BLK,,4.73,SET
INFHOS24WW,,0.13,SET
IINTHEAT24UK,,66.05,SET
CONTROLUK,,0.02,SET
WIFICON24CAB,,0.08,SET
WIFICON25UKEU,,0.84,SET
COM6LGRARATUK,,35.17,SET
COM6LPEBRATUK,,39.71,SET
GAR4LFLRATUK,,33.4,SET
GAR4LPEBRATUK,,24.93,SET
GAR6LPEBRATUK,,32.73,SET
TAH4LFLRATUK,,25.51,SET
TAH4LGRARATUK,,25.87,SET
TAH4LPEBRATUK,,26.39,SET
TAH6LPEBRATUK,,27.77,SET
COM6LFLIRATUK,,34.21,SET
24COM6ILBLUK,,37.14,SET
COM6LCHARATUK,,34.31,SET
STANPOL424WW,,1.57,SET
PRCDUKEU,,0.05,SET
REVIVAL500SPRING,2.95,2.75,CHANGE
REVIVAL500FLOSS,2.95,2.75,CHANGE
REVIVAL500COCO,2.95,2.8,CHANGE
REVIVAL500LAV,2.95,2.76,CHANGE
5060149807057,2.95,3.28,CHANGE
5054487654749,,0.3,SET
5054487652011,,15.95,SET
5054487649394,,1.48,SET
5054487648939,,3.25,SET
5054487647390,,10.38,SET
5054487582325,4.72,3.94,CHANGE
5054487582318,,10.95,SET
5054487582301,2.28,2.74,CHANGE
5054487582295,2.41,4.63,CHANGE
5054487582257,2.49,1.98,CHANGE
5054487582271,3.22,3.4,CHANGE
5060149807033,2.95,3.46,CHANGE
5060149807040,2.95,3.38,CHANGE
5060149801833,,15.95,SET
5060149801314,2.4,2.55,CHANGE
5060149801444,3.04,3.32,CHANGE
