SKU,Category,Description,Last 4 Weeks Avg ROS,Budget Wkly Fwd ROS,Budget 4 Wks Fwd ROS,Stock,Retail (inc vat £),Landed Cost,Stockholding Value,Flat Cvr,Pre-Order Qty,Fwd Cvr (excluding goods on water),Good On Water,Flat Cover (inc Goods on Water),Fwd Cover (inc Goods on Water),No. Pre-Order Wks - Current ROS,No. Pre-Order Wks - Fwd ROS,PL's Approved,Units Called Off - Awaiting Confirmation,Open PO's,Balance Open PO's,Additional POS raised LW,Comments,Marketing Comments,,ON AMAZON UK FBA?,Sellable,Shopify,Amazon,Ebay,B&Q,Debenhams,Decathlon,MW,Tesco,Vente Unique,The Range,Wilko,Wayfair,Rackhams
TAH6FLTRATUK,Foam Spa,6 Person Round Tahoe Spa Flint Rattan UK,0,4,14,0,,£309.63,£0.00,0.0,0,0.0,16,-64.0,4.5,8,4,3,30,50,1,,,,,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
TAH6GRARATUK,Foam Spa,6 Person Round Tahoe Spa Graphite Rattan UK,2,3,11,16,,£309.63,"£4,954.03",9.1,0,5.9,20,20.6,13.3,,,,,20,0,,,,,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
TAH6PEBRATUK,Foam Spa,6 Person Round Tahoe Spa Pebble Rattan UK,2,2,6,30,,£309.63,"£9,288.80",15.0,0,19.7,25,27.5,36.2,,,,,25,0,,,,,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
,,Foam Spa Total,93,77,309,99,,,,1.1,24,1.3,523,6.4,7.7,,,318,436,"1,521",244,0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
ADR6BLAUK,Frame Spa,6 Person Frame Spa Black,1,2,9,0,,£521.73,£0.00,0.0,0,0.0,0,0.0,0.0,8,3,,100,120,20,,,,,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
,,Frame Spa Total,1,2,9,0,,,,0,0,0,0,0,0,,,0,100,120,20,0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
AEG6DGRYUK,Inflatable Spa,Aegean Octagonal 6 Person Spa - Dark Grey,26,14,56,0,,£149.11,£0.00,0.0,1,0.0,40,1.5,2.8,6,5,0,190,230,0,,,,,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
AEG6NAVYUK,Inflatable Spa,Aegean Octagonal 6 Person Spa - Navy,18,15,60,30,,£148.21,"£4,446.41",1.6,0,2.0,40,3.8,4.7,4,3,0,40,80,0,,Pre-order - 5% discount. Stock due end of July: 408.49,,,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
ATL4DGRYUK,Inflatable Spa,Atlantic Round 4 Person Spa - Dark Grey,14,26,103,0,,£121.86,£0.00,0.0,38,0.0,200,11.6,6.3,,2,0,380,580,0,,,,,,✓,✓,X,X,X,X,X,X,X,X,X,X,X,X
ATL6BRNRATUK,Inflatable Spa,Atlantic Round 6 Person Spa - Brown Rattan,4,5,20,54,,£148.59,"£8,023.84",12.7,0,10.7,0,12.7,10.7,,,0,40,40,0,,,,,YES,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
ATL6GRATUK,Inflatable Spa,Atlantic Round 6 Person Spa - Grey Rattan,9,7,29,44,,£148.51,"£6,534.34",5.2,0,6.0,74,13.9,16.1,,,0,0,100,26,,,,,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
ATL6NAVUK,Inflatable Spa,Atlantic Round 6 Person Spa - Navy,9,6,25,9,,£145.02,"£1,305.21",1.1,0,1.5,0,1.1,1.5,7,7,0,145,195,50,,,,,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
ATL6SLAUK,Inflatable Spa,Atlantic Round 6 Person Spa - Slate Rattan,7,6,23,0,,£139.30,£0.00,0.0,0,0.0,50,7.7,8.6,,,0,0,50,0,,Pre-order - 5% discount. Stock due end of July: £408.49,,,YES,✓,✓,X,X,X,X,X,X,X,X,X,X,X,X
PAC4BRNRATUK,Inflatable Spa,Pacific Square 4 Person Spa - Brown Rattan,11,4,15,0,,£139.30,£0.00,0.0,4,0.0,40,3.2,9.6,5,,0,0,40,0,,,,,YES,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
PAC4DGRYUK,Inflatable Spa,Pacific Square 4 Person Spa - Dark Grey,5,9,36,0,,£135.78,£0.00,0.0,1,0.0,0,-0.2,-0.1,8,8,0,50,50,0,,,,,YES,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
PAC4GRATUK,Inflatable Spa,Pacific Square 4 Person Spa - Grey Rattan,12,14,58,0,,£139.18,£0.00,0.0,6,0.0,24,1.5,1.2,7,7,16,150,244,54,,,,,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
PAC4NAVUK,Inflatable Spa,Pacific Square 4 Person Spa - Navy,10,4,16,0,,£135.78,£0.00,0.0,4,0.0,50,4.7,11.6,3,,0,0,50,0,,,,,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
PAC4SLAUK,Inflatable Spa,Pacific Square 4 Person Spa - Slate Rattan,13,9,38,0,,£133.87,£0.00,0.0,0,0.0,36,2.7,3.8,5,4,0,0,36,0,,,,,YES,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
PAC6BRNRATUK,Inflatable Spa,Pacific Square 6 Person Spa - Brown Rattan,9,10,40,47,,£165.03,"£7,756.35",5.1,0,4.7,0,5.1,4.7,3,3,40,50,90,0,,,,,YES,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
PAC6DGRYUK,Inflatable Spa,Pacific Square 6 Person Spa - Dark Grey,19,16,63,0,,£162.52,£0.00,0.0,0,0.0,26,1.4,1.6,7,6,0,174,300,100,,,,,,✓,✓,X,X,X,X,X,X,X,X,X,X,X,X
PAC6GRATUK,Inflatable Spa,Pacific Square 6 Person Spa - Grey Rattan,8,6,23,0,,£155.12,£0.00,0.0,0,0.0,26,3.2,4.6,5,3,0,114,170,30,,,,,YES,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
PAC6NAVUK,Inflatable Spa,Pacific Square 6 Person Spa - Navy,17,10,41,56,,£161.42,"£9,039.67",3.2,0,5.5,9,3.8,6.4,4,2,0,71,120,40,,,,,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
PAC6SLAUK,Inflatable Spa,Pacific Square 6 Person Spa - Slate Rattan,1,5,22,0,,£165.03,£0.00,0.0,1,0.0,128,254.0,23.5,,,0,7,135,0,,,,,,✓,✓,X,X,X,X,X,X,X,X,X,X,X,X
,,Inflatable Spa Total,191,167,667,240,,,,1.3,55,1.4,743,4.9,5.6,,,56,"1,411","2,510",300,0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
EXPNAV221,Kayaks,Wave Roamer 2.0 2/1 Person PVC Stitch Kayak Navy,13,9,36,34,,£118.25,"£4,020.62",2.6,,3.7,100,10.3,14.7,,,0,50,250,100,,,Disocunts added,,YES,✓,X,X,X,X,X,✓,X,X,X,X,X,X,X
EXPNAV232,Kayaks,Wave Roamer 2.0 3/2 Person PVC Stitch Kayak Navy,14,15,60,68,,£134.52,"£9,147.63",4.9,,4.6,83,11.0,10.1,,,0,60,193,50,, 15% off,Disocunts added,,YES,✓,✓,✓,X,X,✓,✓,✓,✓,✓,✓,✓,X,✓
NAVCAM321,Kayaks,Navigator 3.0 | Inflatable Kayak | Drop-Stitch | 2-3 Seater - Camo / 2 Seater,5,10,38,0,,£162.26,£0.00,0.0,6,0.0,129,25.9,12.9,,,0,10,154,15,,,,,YES,✓,✓,✓,✓,X,✓,✓,X,X,X,X,X,X,X
NAVCAM332,Kayaks,Navigator 3.0 | Inflatable Kayak | Drop-Stitch | 2-3 Seater - Camo / 3 Seater,8,7,27,0,,£175.66,£0.00,0.0,,0.0,65,8.4,9.8,,,0,0,90,25,,,,,YES,✓,✓,✓,✓,X,✓,✓,X,X,X,X,X,X,X
NAVNAV31,Kayaks,Navigator 3.0 | Inflatable Kayak | Drop-Stitch - Navy / 1 Seater,2,5,19,89,,£149.69,"£13,322.64",59.3,,18.6,0,59.3,18.6,,,0,0,0,0,,Add to 15% promo: 348.49,,,,✓,X,X,X,X,X,X,X,X,X,X,X,X,X
NAVNAV321,Kayaks,Wave Navigator 3.0 2 Person Drop Stitch Kayak Navy,6,7,28,0,,£0.00,£0.00,0.0,7,0.0,61,9.4,7.7,,,0,0,76,15,,,,,YES,✓,✓,✓,✓,X,✓,X,X,X,X,X,X,X,X
NAVNAV332,Kayaks,Navigator 3.0 | Inflatable Kayak | Drop-Stitch | 2-3 Seater - Navy / 3 Seater,4,6,26,0,,£162.91,£0.00,0.0,,0.0,44,12.6,6.8,,1,0,0,59,15,,,,,YES,✓,✓,✓,✓,X,✓,X,X,X,X,X,X,X,X
TBLZCAM321,Kayaks,Trailblazer 3.0 | Inflatable Kayak | Drop-Stitch | 2-3 Seater - Camo / 2 Seater,6,2,8,11,,£147.25,"£1,619.72",1.9,,5.4,1,2.1,5.9,6,2,0,0,11,10,,,,,YES,✓,✓,✓,✓,X,✓,✓,✓,✓,✓,✓,✓,X,✓
TBLZCAM332,Kayaks,Trailblazer 3.0 | Inflatable Kayak | Drop-Stitch | 2-3 Seater - Camo / 3 Seater,5,2,9,12,,£161.42,"£1,937.08",2.5,,5.2,0,2.5,5.2,5,3,0,0,9,9,,,,,YES,✓,✓,✓,✓,X,✓,✓,✓,✓,✓,✓,✓,X,✓
TBLZNAV31,Kayaks,Trailblazer 3.0 | Inflatable Kayak | Drop-Stitch | 2-3 Seater - Navy / 1 Seater,5,6,23,66,,£150.45,"£9,929.58",13.2,,11.3,0,13.2,11.3,,,0,0,0,0,,Add to 15% promo: 322.99,,,YES,✓,X,X,X,X,X,X,X,X,X,X,X,X,X
TBLZNAV321,Kayaks,Trailblazer 3.0 | Inflatable Kayak | Drop-Stitch | 2-3 Seater - Navy / 2 Seater,7,1,5,10,,£142.41,"£1,424.10",1.4,,8.4,0,1.4,8.4,7,,0,0,5,5,,,,,YES,✓,✓,✓,✓,X,✓,✓,✓,✓,✓,✓,✓,X,✓
TBLZNAV332,Kayaks,Trailblazer 3.0 | Inflatable Kayak | Drop-Stitch | 2-3 Seater - Navy / 3 Seater,4,1,6,11,,£156.01,"£1,716.12",2.9,,7.6,0,2.9,7.6,5,,0,0,5,5,,,,,YES,✓,✓,✓,✓,X,✓,✓,✓,✓,✓,✓,✓,X,✓
5060959542797,Kayaks,Wave Voyager 1 Person Kayak,2,7,27,38,,£95.01,"£3,610.55",19.0,,5.7,101,69.5,20.7,,,0,0,98,-3,,Add to 15% promo: 237.99,,,YES,✓,X,X,X,X,X,X,X,X,X,X,X,X,X
NAVNAV232,Kayaks,Wave Navigator 2.0 3/2 Person Drop Stitch Kayak Navy,0,,,0,,£123.35,£0.00,0.0,0,0.0,0,0.0,0.0,,,0,0,0,0,,CLEARANCE Discontinued - clear through stock,,,,✓,✓,✓,✓,X,✓,✓,✓,✓,✓,✓,✓,X,✓
5060959540021,Kayaks,Drop-Stitch Bottom Kayak,0,,,1,,£175.22,£175.22,1.0,,1.0,0,1.0,1.0,,,0,0,0,0,,CLEARANCE Discontinued - clear through stock,,,,✓,X,X,X,X,X,X,X,X,X,X,X,X,X
5060959542773,Kayaks,Wave Roamer 1 Person Kayak,0,,,31,,£188.57,"£5,845.67",31.0,,31.0,0,31.0,31.0,,,0,0,0,0,,,Disocunts added,,YES,✓,✓,✓,X,X,X,X,X,X,X,X,X,X,X
,,Kayak Total,79,78,312,371,,,,4.7,13,4.8,584,12.0,12.1,,,0,120,950,246,0,,,,,✓,X,X,X,X,X,X,X,X,X,X,X,X,X
,,,,,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
CR3109AQUWW,SUPs,Cruiser 3.0 SUP | Inflatable Paddleboard | 10'9ft - Aqua / 10'9 | 327x81x15cm,43,11,45,0,,£57.89,£0.00,0.0,9,0.0,238,5.3,20.4,3,,0,0,238,0,,,,,,✓,✓,✓,✓,X,✓,✓,✓,✓,✓,✓,✓,X,✓
CR3109KHAWW,SUPs,Cruiser 3.0 SUP | Inflatable Paddleboard | 10'9ft - Khaki / 10'9 | 327x81x15cm,28,12,50,0,,£57.89,£0.00,0.0,15,0.0,279,9.3,21.1,,,0,1,280,0,,,,,,✓,✓,✓,✓,X,✓,✓,✓,✓,✓,✓,✓,X,✓
CR3109NAVWW,SUPs,Cruiser 3.0 SUP | Inflatable Paddleboard | 10'9ft - Navy / 10'9 | 327x81x15cm,86,40,160,73,,£57.89,"£4,226.13",0.9,,1.8,569,7.5,16.1,,,0,0,572,3,,,,,YES,✓,✓,✓,✓,X,✓,✓,✓,✓,✓,✓,✓,X,✓
HOP2ICEBLUWW,SUPs,Wave Hopper 3.0 | Inflatable Body Board - Ice Blue,4,2,8,66,,£19.54,"£1,289.79",16.5,,33.0,100,41.5,83.0,,,0,0,100,0,, 15% off own site ,Disocunts added,,,✓,✓,✓,✓,X,✓,✓,✓,✓,✓,✓,✓,X,✓
HOP2NVYWW,SUPs,Wave Hopper 3.0 | Inflatable Body Board - Navy,5,2,10,62,,£19.54,"£1,211.62",13.8,,26.0,98,35.6,67.0,,,0,0,100,2,, 15% off own site,Disocunts added,,,✓,✓,✓,✓,X,✓,✓,✓,✓,✓,✓,✓,X,✓
PR3126NAVWW,SUPs,Pro 3.0 SUP | Inflatable Paddleboard | 12'6ft - Navy / 12'6 | 381x81x15cm,34,26,105,444,,£107.93,"£47,920.76",13.3,,17.0,0,13.3,17.0,,,0,0,0,0,,,,,YES,✓,✓,✓,✓,X,✓,✓,✓,✓,✓,✓,✓,X,✓
RC3104GREWW,SUPs,Recon 3.0 SUP | Inflatable Paddleboard | 10'4ft - Dark Green / 10'4 | 315x89x15cm,17,20,80,32,,£78.18,"£2,501.91",1.9,,1.6,220,15.3,12.6,,,0,0,220,0,,,,,YES,✓,X,X,X,X,X,X,X,X,X,X,X,X,X
RC3104GRYWW,SUPs,Recon 3.0 SUP | Inflatable Paddleboard | 10'4ft - Grey / 10'4 | 315x89x15cm,12,16,65,96,,£78.18,"£7,505.72",7.8,,5.9,111,16.9,12.7,,,0,0,111,0,,,,,YES,✓,✓,✓,✓,X,✓,✓,✓,✓,✓,✓,✓,X,✓
SF386AQUWW,SUPs,8'6 Wave Surf Aqua 3.0,6,9,35,156,,£61.99,"£9,669.68",26.0,,17.7,0,26.0,17.7,,,0,0,0,0,, 15% off own site,,,YES,✓,✓,✓,✓,X,✓,✓,✓,✓,✓,✓,✓,X,✓
SF386NAVWW,SUPs,8'6 Wave Surf Navy 3.0,12,17,68,212,,£62.01,"£13,147.01",17.7,,12.5,0,17.7,12.5,,,0,0,0,0,, 15% off own site ,Disocunts added,,YES,✓,✓,✓,✓,X,✓,✓,✓,✓,✓,✓,✓,X,✓
TR3103AQUWW,SUPs,10'3 Wave Tourer 3.0 Sup Board Aqua,21,10,40,102,,£66.46,"£6,778.98",4.8,,10.3,121,10.5,22.4,,,0,0,124,3,,,,,YES,✓,✓,✓,✓,X,✓,✓,✓,✓,✓,✓,✓,X,✓
TR3103BLKWW,SUPs,10'3 Wave Tourer 3.0 Sup Board Black,18,15,60,37,,£66.24,"£2,451.04",2.1,,2.5,80,6.5,7.8,2,,0,0,80,0,,,,,YES,✓,✓,✓,✓,X,✓,✓,✓,✓,✓,✓,✓,X,✓
TR3103NAVWW,SUPs,10'3 Wave Tourer 3.0 Sup Board Navy,35,23,91,0,,£66.24,£0.00,0.0,,0.0,242,6.9,10.7,1,,0,70,382,70,,,,,YES,✓,✓,✓,✓,X,✓,✓,✓,✓,✓,✓,✓,X,✓
TR3103ORAWW,SUPs,10'3 Wave Tourer 3.0 Sup Board Orange,0,1,,0,,£66.23,£0.00,0.0,0,0.0,70,70.0,93.3,,,0,0,70,0,,,,,,✓,X,X,X,X,X,X,X,X,X,X,X,X,X
TR3103REDWW,SUPs,Tourer 3.0 SUP | Inflatable Paddleboard | 10'3/11'3ft - Red / 10'3 | 312x81x15cm,34,6,26,0,,£66.23,£0.00,0.0,2,0.0,80,2.3,12.0,6,,0,0,80,0,,,,,YES,✓,✓,✓,✓,X,✓,✓,✓,✓,✓,✓,✓,X,✓
TR3113AQUWW,SUPs,Tourer 3.0 SUP | Inflatable Paddleboard | 10'3/11'3ft - Ice Blue / 11'3 | 343x81x15cm,23,16,62,3,,£68.54,£205.61,0.1,,0.2,179,7.8,11.7,,,0,0,178,-1,,,,,YES,✓,✓,✓,✓,X,✓,✓,✓,✓,✓,✓,✓,X,✓
TR3113BLKWW,SUPs,Tourer 3.0 SUP | Inflatable Paddleboard | 10'3/11'3ft - Midnight / 11'3 | 343x81x15cm,13,7,27,0,,£66.23,£0.00,0.0,,0.0,100,8.0,14.8,,,0,0,100,0,,,,,YES,✓,X,X,X,X,X,X,X,X,X,X,X,X,X
TR3113NAVWW,SUPs,11'3 Wave Tourer 3.0 Sup Board Navy,33,16,62,0,,£66.23,£0.00,0.0,,0.0,153,4.6,9.8,3,,0,0,153,0,,,,,YES,✓,X,X,X,X,X,X,X,X,X,X,X,X,X
TR3113ORAWW,SUPs,11'3 Wave Tourer 3.0 Sup Board Orange,0,1,,0,,£66.23,£0.00,0.0,0,0.0,130,130.0,173.3,,,0,0,130,0,,,,,,✓,X,X,X,X,X,X,X,X,X,X,X,X,X
TR3113REDWW,SUPs,11'3 Wave Tourer 3.0 Sup Board Red,8,7,29,0,,£66.23,£0.00,0.0,0,0.0,114,13.8,15.8,,,0,0,114,0,,,,,YES,✓,X,X,X,X,X,X,X,X,X,X,X,X,X
TWN15NVYWW,SUPs,15' Wave Twin Sup Board Navy,0,0,,0,,£0.00,£0.00,0.0,0,0.0,100,100.0,100.0,,,0,0,100,0,,,,,,✓,X,X,X,X,X,X,X,X,X,X,X,X,X
WD3109AQUWW,SUPs,Woody 3.0 SUP | Inflatable Paddleboard | 10'9ft - Aqua / 10'9 | 327x81x15cm,22,19,76,491,,£81.42,"£39,975.77",22.6,,25.8,0,22.6,25.8,,,125,0,125,0,,Add to 15% promo: 178.49,,,YES,✓,✓,✓,✓,X,✓,✓,✓,✓,✓,✓,✓,X,✓
WD3109NAVWW,SUPs,Woody 3.0 SUP | Inflatable Paddleboard | 10'9ft - Navy / 10'9 | 327x81x15cm,55,53,211,465,,£82.06,"£38,155.86",8.5,,8.8,0,8.5,8.8,,,230,0,230,0,,,,,YES,✓,✓,✓,✓,X,✓,✓,✓,✓,✓,✓,✓,X,✓
WTS109CHRWW,SUPs,What The SUP?! | Inflatable Stand-Up Paddle Board | 10'9 - Chroma,0,3,12,0,,£73.55,£0.00,0.0,0,0.0,100,400.0,33.3,,,0,0,100,0,,,,,,✓,✓,X,X,X,X,X,X,X,X,X,X,X,X
WTS109ML2WW,SUPs,What The SUP?! | Inflatable Stand-Up Paddle Board | MUL Edition | 10'9,1,0,0,0,,£73.55,£0.00,0.0,4,0.0,100,192.0,96.0,,,0,0,100,0,,,,,,✓,✓,X,X,X,X,X,X,X,X,X,X,X,X
WTS109PNKWW,SUPs,What The SUP?! | Inflatable Stand-Up Paddle Board | Pink Edition | 10'9,3,6,24,0,,£73.55,£0.00,0.0,0,0.0,100,36.4,16.4,,,0,0,100,0,,,,,,✓,✓,X,X,X,X,X,X,X,X,X,X,X,X
WTS109SWIWW,SUPs,What The SUP?! | Inflatable Stand-Up Paddle Board | Swirple Edition | 10'9,1,6,22,0,,£73.55,£0.00,0.0,0,0.0,100,200.0,17.9,,,0,0,100,0,,,,,,✓,✓,X,X,X,X,X,X,X,X,X,X,X,X
REC104GRYWW,SUPs,10'4 Wave Recon Sup Board Grey,1,0,,1,,£84.87,£84.87,1.0,,1.0,0,1.0,1.0,7,7,0,0,0,0,,,,,,✓,✓,X,X,X,X,X,X,X,X,X,X,X,X
5060959546771,SUPs,11'3 Wave Tourer Sup Board Navy,1,0,,0,,£0.00,£0.00,0.0,0,0.0,0,0.0,0.0,8,8,0,0,0,0,,CLEARANCE - Discontinued - clear on marketplaces or clearance section of site,,,,✓,✓,X,X,X,X,X,X,X,X,X,X,X,X
